city,Id,Filter,Created_Time,Longitude,Latitude,Likes,Comments,color1,color2,color3,color4,color5
london,974750870128864983_1137120554,Normal,1430419380,-0.103425659,51.534737875,13,0,#296370,#62b4c9,#9e7343,#49391e,#63ada4
london,974758167641754099_2633233,Normal,1430420250,-0.114280478,51.49997695,6,6,#d9d8d1,#262b2a,#787451,#6a8ec1,#544b3f
rome,974756584146704462_1696550613,Normal,1430420061,12.450883649,41.905975719,0,0,#40412e,#cfcac4,#8f8174,#a8adac,#9996a2
moscow,974732804535957846_1303484685,Normal,1430417226,37.623888889,55.755833333,2,0,#9fbbc0,#402c3f,#48446b,#837074,#486d9f
rome,974782509561000155_301707411,Reyes,1430423152,12.48847,41.917688333,11,0,#695d53,#cdc4b9,#beb1a4,#aba093,#b1ada7
london,974760311039258234_28847362,Kelvin,1430420505,-0.125,51.5227,1,0,#7d5013,#ece5c5,#d59038,#2e2006,#ccac99
moscow,974771624789019537_478462945,Normal,1430421854,37.6110553,55.740792048,4,0,#c03aa8,#1b0629,#f8c3f8,#60083b,#5b1a69
moscow,974786437114588191_368941370,Normal,1430423620,37.675628,55.794355,1,0,#d2ccc1,#242661,#c4372a,#a68764,#a28635
paris,974504601084030841_305466594,Normal,1430390022,2.302930934,48.879411512,4,0,#706861,#d7d27f,#1e2b3f,#b8b774,#aba7bf
tokyo,974486494469438153_1336934365,Normal,1430387864,139.730987415,35.665684581,2,0,#79a5d2,#18100c,#cbd6e0,#5283bb,#725c4b
berlin,974500362839245796_176520367,Normal,1430389517,13.397777778,52.520555556,2,0,#947462,#adacb3,#e6d8c9,#3b2e2d,#6b2e21
moscow,974502166451491840_234363108,Normal,1430389732,37.62066824,55.744843989,6,1,#302524,#dfa190,#8d6d6a,#a19c8e,#9b7796
london,974494603774743954_1699285468,Normal,1430388831,-0.092559094,51.537997127,4,0,#83443b,#272a28,#e7bf96,#dd6f59,#c78398
tokyo,974483391229722839_796114351,Normal,1430387494,139.771286667,35.69977,0,0,#17244e,#624b41,#f5f4f1,#b28d59,#808fab
moscow,974510238487261041_523035234,Normal,1430390694,37.620465117,55.755894266,3,0,#687587,#d1d3d6,#262729,#72a0d9,#9bc9e6
tokyo,974470444907090598_1195784979,Normal,1430385951,139.730987415,35.665684581,0,0,#343d5c,#cbd6e1,#1442e3,#3e51a3,#79accf
seoul,974482898271747688_641092958,Normal,1430387435,126.973569785,37.577580932,0,0,#b9b2a2,#2e302d,#6f5f38,#5d4324,#717973
paris,974491671318460938_90221,Normal,1430388481,2.290588333,48.830638333,3,1,#3e2e24,#d4a67f,#956c4d,#9ba6b4,#808d9e
seoul,974472635355568279_1167878397,Aden,1430386212,126.988045,37.551291667,1,0,#4b3f54,#a59eb3,#d9a08e,#9e949f,#a26e6e
moscow,974486482423551727_21419516,Normal,1430387862,37.654666179,55.752729811,3,0,#8f8b84,#333332,#2e7d7a,#434246,#9accd4
rome,974491580489115048_366172664,Ludwig,1430388470,12.497639906,41.915505022,26,0,#dac0ac,#1b1008,#662f1a,#915b2e,#75695d
seoul,974486204556590039_228141869,Ludwig,1430387829,126.986004898,37.567880204,4,0,#9c7557,#2b2212,#e1d3b6,#6e211e,#c6baac
seoul,974505594554699388_1408801042,Juno,1430390141,127.003437166,37.553123845,1,0,#461a13,#eee6d9,#863d2b,#aba752,#968d85
seoul,974470243570987690_50258883,Juno,1430385927,126.973569785,37.577580932,2,0,#212216,#e5e3d9,#949d81,#e05117,#7c8484
seoul,974461413165666728_1349771059,Normal,1430384874,126.973569785,37.577580932,1,0,#403a23,#daa59c,#946247,#a2a89b,#8c929c
london,974485374263651362_1265609890,Normal,1430387730,-0.141667863,51.515164147,0,0,#7e8580,#1c2d30,#d3cfd0,#bac4c5,#b2b9c4
tokyo,974477287754096858_244829407,Normal,1430386766,139.730987415,35.665684581,9,0,#302422,#eeebe6,#8c9946,#b1462b,#948c94
seoul,974465656493773943_330132116,Perpetua,1430385380,127.0054927,37.5611827,3,0,#a9bea7,#2a3f19,#546d2f,#57a3a4,#4b542d
moscow,974784017083830097_1527690162,Normal,1430423331,37.641126911,55.758759207,10,0,#312b30,#985c5b,#663d3f,#71665c,#715a5c
london,974791907342915358_586291636,Normal,1430424272,-0.119683333,51.502986667,11,0,#413b40,#dce8ed,#8a8b8c,#afa4a0,#a2a9ae
london,974790646646495055_54788892,Crema,1430424122,-0.132371206,51.540742996,1,0,#debc8d,#472d33,#fcfaf4,#95544a,#c56e42
tokyo,974812868737089843_1994810879,Normal,1430426771,139.74454533,35.740637312,0,0,#bfb7ae,#252b2b,#596368,#4e453e,#cd9529
berlin,974747533680556060_1329373565,Normal,1430418982,13.3627997,52.5051724,0,0,#d1d1d1,#131410,#888d7b,#636455,#807987
newyork,974796501113699055_257282877,Crema,1430424820,-74.030034989,40.751787066,0,0,#c6b49f,#291f24,#64503b,#7c5f58,#565154
stockholm,974809050646820637_205412284,Normal,1430426316,17.970426567,59.321147176,15,0,#8d7771,#2e2634,#f0e6e0,#52373e,#64453a
paris,974814959490190373_21162450,Normal,1430427020,2.28990046,48.836485077,2,0,#2a2734,#f2f2f2,#965573,#a29c5f,#1dc6d5
moscow,974779071085804832_249580894,Normal,1430422742,37.634271667,55.7664,4,3,#323342,#e1d7d4,#73575f,#8c8788,#847468
tokyo,974777181444472773_34127526,Inkwell,1430422516,139.720685578,35.695840515,1,0,#171717,silver,#616161,#848484,#7c7c7c
moscow,974773416849065980_1326779624,Crema,1430422068,37.691388889,55.765,3,0,#412e35,#eadbc3,#3d6cab,#83a6c3,#b87455
paris,974787576406121854_274847470,Crema,1430423756,2.258133928,48.88650732,2,0,#dabca0,#403342,#9e7b72,#b09e9b,#a08d94
stockholm,974784663640294958_226849560,Earlybird,1430423408,18.047688503,59.339737708,0,0,#270917,#8a5447,#592a2d,#6c5448,#6c4854
london,974778631919743586_2093563,Lark,1430422689,-0.119806778,51.517784111,0,0,#ba9f61,#312517,#6e4021,#d0c6b4,#6d603f
moscow,974793006771270967_1824762236,Ludwig,1430424403,37.604259877,55.780163536,2,0,#f9f0e8,#a9342e,#54110d,#cd8e60,#a88d8a
london,974822982294472962_1185801,Perpetua,1430427976,-0.109339577,51.521731616,0,0,#bcc1b7,#252a20,#494637,#5a5946,#5e6f67
london,974794735394590091_301421890,Brannan,1430424609,-0.177924551,51.497219904,0,0,#684c51,#e4d5c0,#d1af95,#aaa291,#d4b6ba
berlin,974781144792875695_207252095,Normal,1430422989,13.397777778,52.520555556,3,0,#382c28,#cdbeb5,#81675b,#898a95,#949ea2
paris,974824386540400160_31332106,Normal,1430428144,2.332565345,48.882660946,4,0,#ad9a87,#624426,#fbfbfa,#5e6d74,#8c5c4e
london,974802934914899450_13371814,Lark,1430425587,-0.131880465,51.518651413,5,0,#c0b7af,#21233e,#563f47,#646673,#7a5e45
london,974816301517332366_1143193286,Normal,1430427180,-0.1675792,51.5202588,0,0,#3171bb,#d9d0b7,#3e271e,#8ac8e1,#45515e
paris,974814532157521637_439687254,Normal,1430426969,2.264378866,48.83943131,1,0,#4d3b74,#eef1f5,#6585b4,#af9fb1,#b28f8b
rome,974818929910025047_1756141857,Normal,1430427493,12.466376685,41.902707844,65,0,#6b6656,#7ab5e0,#202825,#c4a691,#a9a59e
tehran,974788337035972672_1417443651,Brannan,1430423846,51.379205306,35.692993186,0,0,#5a4442,#f5ddae,#cf8d72,#989c7a,#aaac9a
berlin,974818158543173347_397756084,Normal,1430427401,13.400907,52.500536,1,0,#8a7462,#28231e,#d8b08d,#ecdba7,#dcbcac
london,974822287803573252_232672712,Lark,1430427894,-0.122426029,51.531566216,0,0,#e3dace,#292616,#7a5736,#909a67,#948c8c
stockholm,974842673446881336_34478169,Normal,1430430324,18.004107005,59.358687837,2,0,#e0ebf1,#171a21,#847c6d,#71665a,#8b9194
newyork,974830681160227253_231048397,Normal,1430428894,-74.0286091,40.7475948,0,0,#7d796e,#b3c1d3,#30363a,#b3b4af,#c4c0b4
moscow,974835208280323567_241836516,Normal,1430429434,37.617261345,55.735268164,6,0,#4f463e,#ecdbcd,#a57a6a,#adb29e,#979aac
london,974861787710896569_612396805,Normal,1430432602,-0.10506049,51.533748399,1,0,#415c41,#cdb7b7,#8e7d7c,#6a8eb5,#78ac51
newyork,974793120691111347_483254720,Normal,1430424417,-74.064999,40.730683,1,0,#7d5c55,#f8f6f3,#242634,#d7736b,#c9b5b6
moscow,974797968867549625_189097007,Normal,1430424995,37.624666787,55.759405763,2,0,#caab9c,#261b16,#795946,#8d9581,#827c84
tehran,974835454150430943_2115646523,Normal,1430429463,51.38650691,35.719467501,0,0,#6c626f,#d4b4af,#1f2746,#8392c7,#aeb8cb
